ID,A1,A2,A3,A4,A5,Score
2650__principle_38__reduce_47,1,1,0,0,0,0.253644859971
4527__data_4__level_25,2,0,0,0,0,0.219438269862
1768__nosedives_49__cut_44,3,2,0,0,0,0.295683759382
9955__arrives_33__getting_28,1,1,0,0,0,0.395236287587
3193__objectives_4__meet_2,1,1,1,1,1,0.641717981073
3451__reconstruction_2__rise_20,1,1,0,0,0,0.375139665042
2752__valley_21__form_18,1,1,1,1,0,0.531665020385
148__line_12__drawings_13,1,1,1,1,1,0.639191860351
6422__establishing_34__spent_32,1,1,1,0,0,0.463548546958
5189__country_50__territory_64,1,1,1,0,0,0.369248292463
2900__imagine_26__hard_24,1,1,1,0,0,0.417295419088
4542__framework_26__models_19,1,1,0,0,0,0.288712117341
6198__competition_39__stages_44,1,1,0,0,0,0.253644859971
3637__argument_7__relied_4,1,1,1,1,0,0.504554630774
7034__provided_3__advances_6,2,1,1,0,0,0.407857499647
3734__potential_19__fields_21,1,1,1,1,0,0.5087778781
3455__time_8__collapsing_13,2,1,1,0,0,0.409078086091
7065__speech_32__shown_25,2,1,0,0,0,0.324769415988
1456__based_33__block_32,1,1,1,1,0,0.521914874054
4603__hen_17__mother_16,3,3,2,1,1,1.15640566524
6237__checklists_13__situation_19,2,1,0,0,0,0.289647859904
9588__lard_13__feeling_6,3,3,0,0,0,0.513145646528
3201__devoted_8__resources_10,2,1,1,1,0,0.669104009241
3733__provisions_6__exert_12,0,0,0,0,0,0.153615485052
8533__wrung_10__washing_9,3,2,2,2,0,1.32700561866
814__filled_15__imagery_19,3,2,1,1,0,0.755447735276
3718__characteristics_16__inherited_18,3,1,1,1,0,0.679489270806
6613__history_42__reading_40,2,1,1,1,0,0.679489270806
873__items_4__combine_3,1,1,1,1,0,0.444210622665
2517__crime_47__form_45,1,1,1,0,0,0.378663300407
657__waiting_30__cut_33,2,1,1,0,0,0.459284002183
1340__mere_22__decoration_23,3,3,1,1,0,1.00959439281
1892__independence_13__form_10,3,2,2,2,1,1.46764838585
3592__deprivation_21__pushed_27,2,2,0,0,0,0.425127313505
3040__Silence_5__denounces_3,1,0,0,0,0,0.166912757746
2782__posters_51__stare_47,3,3,0,0,0,0.407355378943
1554__touched_15__base_16,3,2,1,1,1,0.719243561434
1339__historical_35__operating_29,1,1,1,0,0,0.378663300407
3518__pervasive_44__sense_45,3,3,3,3,2,2.08654199526
6297__forced_24__consider_26,2,2,1,1,1,0.722605348766
3566__statement_15__set_7,2,1,1,0,0,0.38252384674
6820__philosophers_2__consider_9,2,1,1,0,0,0.41180720609
7100__time_4__represent_2,2,2,2,2,0,0.994167662343
810__poet_17__float_6,3,0,0,0,0,0.20101079205
1795__sympathy_16__rose_14,3,2,2,1,1,1.09570127496
1623__toured_5__ignored_11,3,1,0,0,0,0.301505355478
6831__assumption_21__false_20,2,1,1,1,0,0.50469029006
3663__housing_21__poor_20,2,2,1,1,1,0.752053611669
16146__cider_11__sold_12,2,2,1,0,0,0.596975755257
12085__estimate_20__passes_22,2,1,0,0,0,0.304654494374
6263__action_10__guide_8,2,2,1,1,1,0.752053611669
5136__task_24__tearing_19,3,2,2,1,0,0.606449371475
6219__term_22__include_24,1,1,1,0,0,0.387213291284
4735__soon_13__moving_5,2,1,1,0,0,0.395801094337
104__reports_4__arrangement_7,1,0,0,0,0,0.161833212282
4779__feared_15__growing_23,2,2,0,0,0,0.31786213746
7032__parliament_10__advances_8,1,1,1,0,0,0.392593240199
667__litres_8__spilled_6,2,2,1,0,0,0.434010577505
3215__behaviour_42__standards_40,1,1,0,0,0,0.406336371358
6374__minority_5__reached_10,2,2,1,1,0,0.679489270806
6383__choice_3__subject_2,1,1,0,0,0,0.326809561647
2831__little_6__odd_7,2,1,1,1,0,0.657229248716
3492__resources_7__injection_5,3,3,2,2,2,1.39617019159
6681__totalization_33__proceed_22,3,3,1,0,0,0.478305799681
2568__manslaughter_27__reduced_25,2,1,1,1,0,0.549885363012
1498__report_4__makes_20,1,1,0,0,0,0.356650531448
4493__perform_16__inventory_20,2,1,1,0,0,0.416266590556
3642__Taking_1__role_7,1,0,0,0,0,0.168917320243
6187__variable_7__susceptible_11,2,2,1,0,0,0.342626431704
3676__ears_34__found_35,1,1,0,0,0,0.299853919769
4866__fringe_19__darkly_13,3,0,0,0,0,0.168107382258
4499__departments_11__planning_10,1,1,0,0,0,0.291980818818
11129__start_19__load_25,1,0,0,0,0,0.185479867625
6267__routine_8__tell_11,2,1,1,1,0,0.662852827543
2554__None_1__strong_7,1,1,0,0,0,0.239714920179
6191__expertise_27__takes_23,3,1,1,1,1,0.752053611669
2143__sounding_3__determined_7,3,1,1,0,0,0.346463204142
1895__violence_14__natural_11,2,2,2,0,0,0.624749019541
6485__nursery_21__ran_17,2,2,2,1,0,0.600286947869
2614__draws_40__line_42,2,2,1,1,1,0.75706915
7117__marble_18__floor_21,3,2,1,1,1,0.847864367396
6888__recognise_9__possessing_14,1,0,0,0,0,0.166055434504
2071__boys_5__lean_6,3,1,1,1,0,0.739568902392
994__space_8__short_6,2,1,1,1,0,0.743808892786
91__carrying_15__bound_20,3,0,0,0,0,0.153615485052
6172__reduce_7__form_12,1,1,1,1,0,0.536778487023
2557__penalty_16__calculations_21,2,1,1,1,0,0.627733779924
4567__based_8__system_11,1,1,1,1,0,0.412478354931
1713__knowledge_7__deep_6,2,2,1,1,0,0.705083099341
6287__orientates_10__introduction_8,3,2,1,1,0,0.752053611669
1949__subject_9__tussle_13,2,2,1,1,0,0.657759040122
1757__bid_15__joint_13,2,1,1,1,0,0.605643977372
1291__style_8__piece_5,1,1,1,0,0,0.375934180409
1083__picked_2__web_10,2,2,0,0,0,0.305137000154
1797__value_15__release_13,2,1,1,1,1,0.63916045069
6796__relation_42__valued_40,1,1,1,1,0,0.504554630774
471__gifts_8__hints_4,2,2,1,1,0,0.679489270806
2097__life_48__refugee_45,2,2,2,1,0,0.707907825799
7064__asserted_6__quarters_3,3,1,0,0,0,0.387636741644
6720__bestowed_5__cause_9,3,2,2,2,1,1.37836181425
4893__smile_2__spread_3,3,2,2,1,1,0.967448203496
2546__system_26__called_23,2,1,1,0,0,0.385252966738
6460__sustained_15__clinging_18,3,2,2,1,0,0.892687837537
1455__display_15__steps_7,2,1,0,0,0,0.335852122535
1309__failure_8__stemmed_5,3,1,1,0,0,0.595172046688
7035__set_9__fought_5,2,0,0,0,0,0.153615485052
2989__prey_9__alert_5,2,1,1,0,0,0.409078086091
2767__variety_6__enormous_11,3,2,1,1,0,0.923675936036
8369__suddenly_12__raised_11,2,1,1,1,0,0.531665020385
479__candidates_9__assess_6,1,1,0,0,0,0.356650531448
3505__market_11__liberation_8,2,2,2,1,0,0.712036442499
3744__demands_8__heavy_7,3,2,1,1,0,0.803470970663
199__status_17__abuse_15,3,2,1,1,0,0.705046606219
3474__contract_4__enjoy_8,1,0,0,0,0,0.157837707274
3750__draws_18__role_22,2,2,1,0,0,0.468187812777
2869__Paths_1__allowing_6,2,1,1,0,0,0.455237879785
2770__north_3__clumps_13,3,2,2,0,0,0.564284936685
4573__nodes_33__network_32,3,1,1,1,0,0.722273659753
1303__fascination_16__grew_13,2,2,1,1,0,0.682883394413
3730__fields_27__application_26,2,1,0,0,0,0.301043965765
6848__childhood_20__training_15,2,2,2,1,0,0.61000931778
491__keeper_51__stretch_49,3,2,2,0,0,0.792176164099
3096__association_7__led_5,1,1,1,0,0,0.38252384674
11558__round_12__bend_15,3,2,1,1,0,0.584272667942
4520__potential_3__sources_4,1,1,1,1,1,0.632622058917
6641__social_20__ensembles_21,3,2,1,1,0,0.689647330854
6838__philosophers_21__drawn_15,3,1,1,0,0,0.428921463893
3506__local_49__structure_51,2,2,1,1,1,0.633280530301
4779__cut-throat_4__world_5,3,3,2,2,2,1.68539360753
859__switch_22__shadow_27,3,2,0,0,0,0.440528701333
11236__moment_27__getting_22,1,0,0,0,0,0.224576720232
1865__engaging_11__regard_8,3,2,2,1,1,0.786449716518
2999__Society_23__secure_16,2,0,0,0,0,0.189702089847
7048__constituencies_17__ready_11,2,1,1,0,0,0.353004501249
6263__requires_6__context_3,2,1,1,1,0,0.497964964442
594__free_51__plant_46,2,2,1,0,0,0.525151804891
8262__curb_3__theatrical_5,3,3,2,1,1,1.33899953269
4542__flood_17__models_19,3,2,0,0,0,0.360053866665
5297__framing_17__gold_15,3,1,0,0,0,0.417111840067
1337__definitions_35__adoption_17,3,2,0,0,0,0.297422727585
143__documentaries_30__materials_27,3,1,1,1,0,0.708285913125
14114__goes_15__looking_7,2,1,0,0,0,0.311330950769
4899__gloom_15__add_11,2,2,1,1,1,0.657573013545
9003__cat_9__swing_7,3,3,3,1,0,1.46957317534
11776__name_7__middle_6,2,1,1,1,0,0.749890184838
1242__records_6__fusion_12,2,2,0,0,0,0.318980149882
4493__linked_3__closely_2,3,1,1,1,0,0.836358013859
3021__told_7__pressure_2,2,1,0,0,0,0.263592717237
6490__carers_37__background_34,1,1,1,0,0,0.490199202264
2863__drink_17__free_16,1,1,1,1,1,0.645726315772
14021__minute_16__break_18,2,1,1,1,0,0.5913586281
4483__quantitative_7__assessments_9,3,1,1,0,0,0.539719671735
2108__interspersed_61__descents_64,3,2,2,2,1,0.874733329538
8598__method_9__bang_7,3,3,3,1,0,1.4404011061
3198__drink_40__commit_41,3,2,2,1,1,0.699602509751
2887__replace_7__tried_5,2,1,0,0,0,0.402014526571
3636__riots_23__responses_19,1,1,1,0,0,0.490199202264
688__studies_2__concentrate_9,2,2,1,0,0,0.474000018999
6416__schools_4__consider_5,1,0,0,0,0,0.185479867625
5112__rules_15__follow_13,1,1,1,0,0,0.486153079866
1624__happened_4__denied_11,1,0,0,0,0,0.123505676166
6657__strategy_2__marks_3,2,1,1,1,0,0.633378160186
3535__tackle_9__directed_7,2,1,1,1,0,0.604274035289
1212__stemmed_20__forces_23,2,2,2,2,0,0.744907922411
2099__decorative_14__smartness_15,3,3,2,1,0,1.56306509736
4897__whiteness_2__dimmed_7,3,2,1,0,0,0.534305242327
6271__homogeneity_14__form_20,2,2,0,0,0,0.271953163016
5606__strong_15__weakened_22,1,0,0,0,0,0.166055434504
6802__themselves_25__defining_24,3,2,1,1,1,0.579001581261
3190__drinking_6__attitudes_7,1,1,1,1,1,0.619439968388
1022__fallen_5__hammer_3,3,3,1,1,0,1.12493330307
9185__careful_7__makes_4,1,1,1,1,0,0.504554630774
2135__self-indulgent_16__fault_19,3,1,1,0,0,0.71751965021
1852__programmes_54__resistance_53,3,3,2,2,1,1.56641359421
571__visits_7__plant_9,2,1,0,0,0,0.313926189807
949__beg_5__borrow_3,2,0,0,0,0,0.21863593337
5306__momentarily_22__defeated_23,2,1,1,1,0,0.605730571149
3458__majority_20__vast_19,2,1,1,1,1,0.712345419623
6659__framework_20__takes_3,3,2,2,1,0,0.7247010243
6336__choice_12__model_9,2,2,1,0,0,0.484852851922
2959__importance_15__attached_13,3,1,1,1,0,0.765157868523
3544__effective_13__murder_14,2,2,2,1,0,0.890230707633
1020__otherwise_15__slow_16,2,2,1,0,0,0.593036956729
1549__standard_4__stuff_6,1,1,1,1,0,0.537098883464
1581__notice_13__served_10,3,2,1,1,0,0.752053611669
12789__Mollyrange_5__round_4,3,2,2,1,0,0.875647980842
3438__failed_13__growth_10,2,1,1,0,0,0.424619133459
3102__maintain_26__momentum_28,2,2,1,1,0,0.650304796431
2752__slopes_26__broad_23,3,3,2,1,1,1.08338308166
913__smack_6__modest_5,3,3,3,3,2,1.8885885267
6756__example_3__lured_4,3,3,2,1,1,1.33899953269
2001__explanation_13__sergeant_17,3,1,1,0,0,0.487541973669
3514__economic_15__focus_19,2,2,1,1,0,0.574426023537
1555__imagination_7__failure_5,3,3,2,2,0,1.26557061342
1295__images_38__stereotypical_37,3,3,2,1,1,1.24544921555
3753__attention_7__draws_6,2,1,1,1,0,0.507560924578
2529__justification_32__creating_34,2,1,1,1,0,0.633984961622
7093__source_13__tension_15,3,2,1,0,0,0.510689588717
818__contrast_5__vividly_10,3,3,2,0,0,0.793891920195
4987__suit_10__ceremonial_16,2,1,1,0,0,0.326322725717
6370__debates_57__contribute_54,2,1,1,0,0,0.474854250314
6228__conditions_15__stress_14,3,2,1,1,0,0.609447607807
489__emulate_14__passing_17,3,3,3,2,1,1.43833949062
812__feelings_30__probing_28,3,3,2,2,1,1.44585060212
197__world_25__headquarters_26,2,1,1,1,0,0.53171893455
3447__followed_3__swiftly_2,3,2,2,2,1,1.30897212442
6351__Crisis_1__describes_5,3,2,1,0,0,0.47622538401
1068__circuses_15__slither_13,3,3,0,0,0,0.486412461074
1476__ago_12__mark_6,3,0,0,0,0,0.242762201555
7235__chest_10__fountain_2,3,3,2,2,0,1.28596967105
2531__process_18__accept_21,2,1,1,0,0,0.568438252309
8425__advancing_4__fronts_10,1,1,1,0,0,0.425187695332
1102__tram_19__dynamic_24,2,1,1,0,0,0.478744505494
3591__policy_3__roots_7,2,2,0,0,0,0.377115042166
8415__contacts_5__main_4,2,1,1,1,1,0.660718485287
8429__impressive_5__list_6,2,2,1,1,1,0.676453364279
1597__inspection_26__system_24,1,1,1,0,0,0.38252384674
3706__relationships_44__close_42,1,1,1,0,0,0.456325763673
6718__ranks_82__melt_84,3,3,2,2,1,1.27670172035
4808__mouth_14__hint_4,3,2,1,0,0,0.34450215438
728__days_17__dominated_14,3,2,1,1,1,0.851058772172
6892__propensity_25__choose_27,3,3,3,2,0,1.5147348155
3178__origins_10__provide_4,2,1,0,0,0,0.323102914744
1649__fun_26__pokes_25,3,1,1,1,1,0.752053611669
3754__specialized_5__nature_6,2,2,1,0,0,0.642200161404
13727__sort_4__stop_6,2,2,2,1,1,0.752053611669
580__societies_19__decide_20,3,2,1,1,0,0.566915140275
6275__usually_4__form_7,1,1,1,1,0,0.569268825548
1102__altogether_22__form_25,2,1,0,0,0,0.263531856667
1257__singing_9__appeal_6,2,1,1,0,0,0.459284002183
499__season_22__suspension_25,0,0,0,0,0,0.182696989387
876__houses_2__combine_3,2,1,1,0,0,0.54537561
4948__blackness_21__inky_20,3,3,3,3,2,2.08654199526
3640__form_3__built_5,1,1,1,1,0,0.504554630774
1287__creative_42__drive_43,3,3,2,1,1,1.22044921555
580__reminder_15__backdrop_3,3,1,0,0,0,0.261435499634
5580__named_30__magically_29,3,3,2,2,0,1.48236576726
5012__plummeting_5__parachutist_24,3,2,0,0,0,0.269224043018
2956__expect_16__return_18,2,1,1,0,0,0.370639256078
6164__asset_14__generating_13,3,1,1,0,0,0.449023228904
14251__bit_8__hard_9,1,1,1,1,1,0.624678124378
8263__slash_18__takes_22,2,2,0,0,0,0.311115417095
4942__breathing_3__whistled_4,3,3,1,0,0,0.668151509443
1340__acceptance_15__decoration_23,2,1,0,0,0,0.304654494374
139__Prayer_24__sail_31,3,2,2,0,0,0.596370267092
6916__guardians_22__suit_25,1,1,1,0,0,0.461005003024
2889__frame-up_32__victim_28,3,3,2,1,1,1.28092444633
8252__idiots_50__welcomed_46,3,2,1,1,1,0.755447735276
6234__sequence_2__dictated_4,3,2,2,1,1,0.967448203496
2637__risk_24__slight_23,3,2,1,1,1,0.707661167605
1928__days_3__followed_5,3,1,1,1,0,0.679489270806
1461__Co-operation_33__role_27,3,1,1,0,0,0.383534856645
2069__approach_14__acquaintance_16,1,1,0,0,0,0.289323015184
193__proliferation_17__-lane_21,3,2,1,0,0,0.371056393732
7088__party_25__stood_22,3,2,1,0,0,0.490517123837
3697__remains_15__inherited_14,3,2,1,1,1,0.755447735276
7080__party_20__propping_23,3,3,2,0,0,0.719591206788
3738__tackled_10__viewed_24,2,1,0,0,0,0.266971266057
5728__chemistry_21__course_18,2,1,1,1,0,0.531665020385
1469__debt_12__ceiling_13,3,3,1,1,1,0.941643757502
2519__life_22__retains_18,2,1,1,0,0,0.416266590556
139__Morning_23__rise_29,1,1,0,0,0,0.343622520868
1274__artist_58__broke_46,1,1,0,0,0,0.28846835189
4545__samples_27__sampling_22,1,1,0,0,0,0.259682727086
6957__views_6__looked_10,1,1,1,0,0,0.424619133459
1461__mimic_25__role_27,2,1,1,1,0,0.567743016593
519__elements_23__found_31,1,0,0,0,0,0.170154760838
4558__GIS_12__linking_8,0,0,0,0,0,0.189702089847
3693__Extroverts_1__rules_7,2,0,0,0,0,0.190408255052
905__firm_7__solicitors_10,2,1,1,1,0,0.48890655521
3228__skills_10__handle_17,3,2,0,0,0,0.362899650982
1242__pioneering_20__fusion_12,2,0,0,0,0,0.189702089847
1498__event_22__makes_20,2,1,1,0,0,0.391318173743
5387__soup_16__heart_13,3,0,0,0,0,0.164865379166
5217__intellectual_18__mould_22,3,2,2,2,1,1.42146351899
1397__flesh_13__missing_10,3,3,1,0,0,0.437290684795
6822__women_55__distinguishing_51,1,1,0,0,0,0.320353825024
3197__course_2__employs_3,3,2,1,1,1,0.752053611669
6253__operator_19__under-used_22,3,2,2,1,1,1.07770665359
6628__formulation_5__relation_8,3,1,1,1,0,0.672016599507
781__prosperous_4__adviser_5,3,3,2,1,1,1.43358523236
14068__change_27__feel_15,1,1,1,0,0,0.378663300407
2553__makes_11__contribution_14,1,1,0,0,0,0.253644859971
4622__reflected_23__glory_24,3,3,3,2,2,1.91493987805
1558__confused_13__left_9,2,1,1,1,0,0.640763024991
6544__special_19__lead_11,2,1,1,0,0,0.378080851201
6304__provide_25__power_29,1,1,1,0,0,0.378663300407
2748__hawk_10__whistling_12,3,3,2,2,1,1.500211751
6377__attitudes_15__rigid_12,2,1,1,0,0,0.416266590556
6852__child_13__stage_16,1,0,0,0,0,0.166055434504
3158__infliction_20__pain_22,3,1,1,1,1,0.752053611669
4673__visiting_13__spent_2,1,1,1,0,0,0.375934180409
1455__steps_7__forming_9,1,1,1,1,0,0.504554630774
3130__deaths_40__reducing_39,2,1,1,0,0,0.442732700447
7199__share_17__fair_16,2,2,1,1,1,0.809422110677
6346__time_6__dominates_11,2,1,0,0,0,0.275588261977
3485__alleviated_23__conditions_18,3,2,2,1,0,0.60902743974
5376__mind_6__changed_4,2,2,1,1,1,0.778920290749
8656__Makes_2__change_4,2,1,1,0,0,0.390551170533
3739__effect_2__matrix_13,2,2,1,0,0,0.423365601733
2932__opinions_36__arising_37,3,2,1,1,0,0.720289409644
7105__policy_26__supported_23,1,1,1,1,1,0.619439968388
4479__references_13__grid_12,2,2,2,2,0,0.893020392882
1283__obsession_3__responses_27,3,3,1,0,0,0.54040911855
4648__carpet_2__Deep_1,3,3,3,1,1,1.6371759892
195__races_19__umpire_17,3,3,3,3,1,1.92340995527
3696__link_9__make-up_12,3,2,1,0,0,0.451826075577
997__bring_7__grinding_19,2,0,0,0,0,0.189872370992
3551__funding_29__lost_25,1,1,1,0,0,0.662895428481
993__response_7__produces_3,2,2,1,1,0,0.574426023537
3150__strength_50__weakness_53,2,1,1,0,0,0.41720872547
1918__wife_19__burden_23,2,1,1,0,0,0.341863773085
5597__bridge_9__fly_8,3,2,1,1,1,0.772358086242
6461__complexity_24__focus_19,3,2,1,1,1,0.752053611669
2563__minimum_41__fixing_39,2,2,1,1,0,0.695738669686
3199__door_19__revolving_18,3,3,2,1,1,1.35804226765
6613__dream-work_22__detour_3,3,2,2,0,0,0.484423925078
3150__article_2__argues_18,3,2,1,0,0,0.537564672564
6873__discernible_32__feature_33,3,3,2,2,1,1.35678904433
8148__undoubtedly_21__seen_22,1,1,1,1,1,0.641717981073
3561__unrest_7__symptom_13,2,1,0,0,0,0.38574220204
1768__level_65__helped_7,2,1,1,0,0,0.40457512248
1008__Property_1__gone_10,1,1,1,0,0,0.434642045975
6902__found_6__versions_11,2,1,1,0,0,0.41180720609
5836__contagious_14__richly_13,3,3,3,2,2,1.80752792064
3733__format_10__powerful_13,2,1,0,0,0,0.40920123417
6152__assemble_22__network_27,2,2,1,1,0,0.682883394413
1849__rocks_21__responding_19,3,3,3,1,0,1.59103575594
6220__information_19__support_20,1,1,1,0,0,0.442593240199
2787__roofs_12__brood_9,3,2,1,1,1,0.810665985787
6778__taking_2__head_7,1,1,0,0,0,0.306790994655
503__day_36__gifts_30,1,0,0,0,0,0.141048442678
1661__dropped_14__beaten_7,3,1,0,0,0,0.300709821334
5223__assortment_36__holding_34,2,2,1,1,0,0.679489270806
4652__activity_15__hive_12,3,3,3,2,2,1.86041156084
8212__substitute_6__power_13,1,1,0,0,0,0.312778823835
6900__children_4__written_9,3,2,1,0,0,0.786371881772
1953__boy_15__picking_41,2,1,0,0,0,0.35194153387
3571__policing_60__tactics_61,2,2,1,1,1,0.765674200208
4559__realize_29__links_32,2,1,0,0,0,0.314639761126
851__help_26__depressed_28,2,2,1,1,0,0.574426023537
8123__gods_26__air_23,3,3,2,2,2,1.52886312343
1953__pauses_48__picking_41,2,0,0,0,0,0.153615485052
944__enjoyable_8__ritualise_11,3,3,3,2,2,2.01527406499
7017__foster_20__sought_18,3,2,2,1,1,0.976643975555
3748__management_15__role_11,3,2,1,1,0,0.752053611669
4619__exactly_5__looking_9,2,1,0,0,0,0.380150276802
503__gifts_30__heavens_33,2,2,1,1,0,0.702680041197
6437__boys_12__image_19,1,1,1,0,0,0.42009199744
2984__nets_37__reflectors_34,1,1,0,0,0,0.344930713493
1565__statements_6__asserting_7,2,2,1,0,0,0.490156920686
6430__socially_16__constructed_17,2,1,1,1,0,0.632909268992
4819__worry_15__score_18,3,3,2,1,0,1.2312892981
1751__temptation_13__feeds_11,3,3,2,1,0,1.31852613862
6404__drastic_8__pruning_9,3,3,3,2,2,2.02596736699
2604__requires_22__defence_2,2,2,1,0,0,0.58419885751
1364__sense_19__trauma_22,2,2,2,0,0,0.744404588104
133__music_12__access_6,1,1,0,0,0,0.310352210255
1852__battle_21__field_17,2,2,0,0,0,0.294189519
6658__dialectic_37__adversaries_33,3,3,3,3,1,1.8001827296
1500__bothered_99__strain_2,2,0,0,0,0,0.161833212282
3105__finally_29__nailed_31,2,2,1,0,0,0.441622681949
1572__housing_7__urged_2,1,1,1,1,0,0.550512635412
6804__autonomy_2__concerned_4,1,1,1,0,0,0.461005003024
5006__jagged_18__recesses_19,3,3,3,0,0,1.21477708789
2983__assistance_13__received_5,1,1,1,0,0,0.41180720609
2125__boyfriend_14__fix_5,0,0,0,0,0,0.170154760838
6803__foundation_6__curiously_4,3,2,2,1,0,0.83909100175
110__patriotism_40__wave_37,3,2,2,1,1,1.09389786939
5709__salad_28__savagery_31,3,0,0,0,0,0.238847891828
2064__news_9__bit_6,2,1,1,0,0,0.416266590556
1937__shortly_10__followed_11,2,1,1,1,1,0.77330228552
4648__days_38__seen_36,2,1,1,1,0,0.682883394413
7058__fostering_36__attitudes_39,3,3,2,1,0,0.994270517004
1853__allows_9__level_3,1,1,0,0,0,0.28846835189
6248__instructions_7__chains_5,3,2,2,2,1,1.46116239211
2553__safety_17__contribution_14,1,1,0,0,0,0.253644859971
2516__culpable_6__regarded_16,2,1,1,0,0,0.407857499647
6373__girls_5__entering_6,1,1,0,0,0,0.316792743272
742__westerns_5__appeal_6,2,1,1,1,0,0.5913586281
466__crafted_19__bringing_17,2,1,1,0,0,0.393544129196
1749__maintain_12__focus_15,2,1,1,1,0,0.662852827543
3196__review_7__course_10,3,2,1,1,1,0.755447735276
6459__comes_65__defined_68,1,1,1,1,0,0.504554630774
465__harmony_37__half_34,3,3,1,1,0,0.763701346552
4482__risk_20__assessments_21,2,2,1,1,0,0.663597914864
3581__riots_27__view_24,2,2,1,1,1,0.676453364279
7490__payment_11__taking_13,1,0,0,0,0,0.203022634137
975__ground_19__sunk_16,2,2,1,1,0,0.574426023537
173__thrived_8__market_6,2,2,2,1,0,0.829073925294
2687__tenants_19__deposit_21,2,1,0,0,0,0.318704208983
2952__government_10__head_8,1,1,1,0,0,0.492592433901
3484__consequences_10__serious_16,1,1,1,0,0,0.425737145882
15953__road_12__spend_7,2,1,0,0,0,0.311046509434
3147__aims_9__support_11,1,1,1,0,0,0.345667669999
2033__lot_8__tough_10,2,1,1,1,0,0.657229248716
1847__economies_19__home_18,3,2,1,1,0,0.778790002764
1456__trading_17__blocks_18,2,1,1,1,0,0.569160032744
1177__buildings_21__considered_17,1,1,0,0,0,0.265496405363
6321__attracted_18__proportion_14,3,2,0,0,0,0.325654250898
1504__considerations_15__stand_18,3,3,2,2,0,1.40339723574
4483__offer_37__resolution_39,2,2,1,0,0,0.468187812777
7243__motionless_9__lake_12,1,1,1,0,0,0.425737145882
1284__deal_8__helped_5,2,1,1,0,0,0.383565976883
1875__lies_3__message_7,1,1,1,1,0,0.504554630774
7061__worth_30__regiment_22,3,2,2,0,0,0.488326961577
9958__portion_91__short_92,2,1,1,1,1,0.770097680732
848__listing_8__free_6,3,2,1,1,0,0.586667032238
6677__constituted_14__system_16,2,2,1,1,0,0.59771706193
2751__path_3__ran_4,2,1,1,1,0,0.627733779924
4499__form_25__built_19,1,1,0,0,0,0.31049088222
2615__requires_8__rule_7,2,1,1,1,0,0.662852827543
5218__invaders_53__repelling_52,3,3,3,2,1,1.58649810428
1784__specialist_4__activities_6,2,1,1,0,0,0.406851582613
6296__fault_3__assume_6,2,2,2,2,0,0.872833668212
6328__seen_23__source_26,1,1,1,1,0,0.550512635412
1938__employment_23__return_20,2,2,1,0,0,0.314008933448
6469__attempts_11__perceived_10,3,1,1,1,0,0.677840653816
6641__riddled_39__seen_37,3,2,2,2,1,1.50957437034
1974__stables_33__stages_45,2,1,1,0,0,0.417126883904
643__lower_16__standard_9,2,1,0,0,0,0.403536404414
2869__vanished_4__allowing_6,3,0,0,0,0,0.153615485052
7058__advances_12__attitudes_39,3,2,1,0,0,0.371140501508
